Reporting Period	ID RSSD	UBPR7414	UBPRE497	UBPRE498	UBPRE499	UBPRE500	UBPRE501	UBPRE502	UBPRE503	UBPRE504	UBPRE521	UBPRE522	UBPRE523	UBPRE524	UBPRE529	UBPRE530	UBPRE531	UBPRE532	UBPRE533	UBPRE534	UBPRE535	UBPRE536	UBPRE537	UBPRE538	UBPRE539	UBPRE540	UBPRE541	UBPRE542	UBPRE544	UBPRE545	UBPRE546	UBPRE547	UBPRE549	UBPRE550	UBPRE551	UBPRE552	UBPRF896	UBPRFC07	UBPRFC08	UBPRFC09	UBPRFC10	UBPRFC11	UBPRFC12	UBPRFC13	UBPRFC14	UBPRFC15	UBPRFC16	UBPRFC17	UBPRFC18	UBPRFC19	UBPRFC20	UBPRFC21	UBPRFC22	UBPRK264	UBPRK265	UBPRK266	
		NONCURRENT ASSETS AS PERCENT OF TOTL	LN_CMID_TOT_DOM	LN_CMID_NACCR_DOM	LN_CMID_NCUR_TOT	LN_CMID_30_89_TOT	LN_INV_PD_90_TOT	LN_INV_NACCR_TOT	LN_INV_NCUR_TOT	LN_INV_30_90_TOT	LN_CRCD_PD_90	LN_NACCR_CRCD	LN_NCUR_CRCD	LN_CRCD_PD_30_89	LS_PD_90_TOT_LS	LS_FIN_RCV_TOT_LS	LS_FIN_RCV_NCUR_LS	LS_FIN_RCV_PD_3089	LN_AG_PD_90_TOT	LN_NACCR_AG_N34S	LN_NCUR_AG_NPD_30	LN_AG_PD_30_90_TOT	LNLS_OTH_PD_90	LNLS_OTH_NACCR_TOT	LNLS_PD_90_NCUR	LNLS_OTH_PD_30_89	LNLS_TOT_PD_90_GRS	LNLS_TOT_NACCR	LNLS_TOT_PD_30_89	LNLS_NCUR_ALWNC	LNLS_NCUR_EQCAP	LNLS_TOT_PD_NACCR	LNLS_NPRF_LNLS_ORE	LNLS_NCUR_NACCR	LNLS_TOT_NCUR	LN_RESTR_TOT_TOTLN	LN_1T4_FORCL_TOT14	FIN INST LN 90+ PD RTO	FIN INST LN NACCR RTO	FIN INST LN TAL DLNQT RTO	FIN INST LN 30-89 PD RTO	AUTO LN 90+ PD RTO	AUTO LN NACCR RTO	AUTO LN TAL DLNQT RTO	AUTO LN 30-89 PD RTO	LS IND 90+ RTO	LS IND NACCR RTO	LS IND TAL DLNQT RTO	LS IND 30-89 RTO	OTHR LS 90+ RTO	OTHR LS NACCR RTO	OTHR LS TAL DLNQT RTO	OTHR LS 30-89 RTO	GTY LN LS PD 90MOR PCT TOT LN LS 90M	:GTY LN LS NONACR PCT TOT LN LS NONA	GTY LN LS PD 30-89 PCT TOT LN LS 30-	
3/31/2016 11:59:59 PM	657365	0.49	0	0.9	0.9	0.14	0	0.13	0.13	0													0	0	0	0	0	0.49	0.21	39.67	3.2	0.7	0.77	0.18	0.49	0.31	0.08	0	0	0	0	0	0	0	0										20.67	2.62	
3/31/2016 11:59:59 PM	657459	0.67	0.33	0.17	0.5	0.25	0.03	0.01	0.04	0.15													0	0	0	0	0.16	0.51	0.44	48.79	4.29	1.1	0.78	0.12	0.28	0.15	0.08																	0	0	0	
3/31/2016 11:59:59 PM	657758	1.96	0.36	0	0.36	2.53	0	0.67	0.67	0.04									0.93	0	0.93	1.51	0	0	0	0	0.48	1.48	0.81	97.93	8.65	2.77	2.06	1.39	2.54	1.14	2.44					0	1.15	1.15	0									0	9.95	0	
3/31/2016 11:59:59 PM	657954	0.3	1.5	0.59	2.09	2.24	0.03	0	0.03	2.62									0	0	0	8.24	0	0	0	0	0.22	0.08	2.99	25.64	2.42	3.29	0.3	0	0	0	0					0	0	0	2.18									0	0	0	
3/31/2016 11:59:59 PM	658072	0.68					0	0	0	0																	0.32	0.36	1	63.54	5.09	1.68	0.68	0	0	0	0					0	0	0	0									0	0	0	
3/31/2016 11:59:59 PM	658474	0.99					0	0	0	0																	0.1	0.89	0.07	79.58	2.56	1.05	1.07	0	0	0	0																	0	0	0	
3/31/2016 11:59:59 PM	658540	0.42	0	0.43	0.43	0	0	0.91	0.91	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0.42	0.01	14.92	2.43	0.43	0.42	0.18	0.25	0.07	1.7					0	0	0	0										0	0	
3/31/2016 11:59:59 PM	658924	1.7	1.05	0.15	1.2	3.57	0.08	0.03	0.11	3.42													0	0	0	0	0.5	1.2	2.35	63.6	5.97	4.06	2.14	0.54	0.62	0.07	0.36					0.19	0	0.19	2.78									0	0	0	
3/31/2016 11:59:59 PM	659042	4.55	0	8.31	8.31	0.16	0	0	0	0													0	0	0	0	0	4.55	0.28	174.04	27.54	4.84	4.59	0	2.84	2.84	0					0	0	0	0										0	0	
3/31/2016 11:59:59 PM	659341	0.54	0	0	0	0.8	0	0	0	0.18					0	0	0	0	0	0.23	0.23	0	0	0	0	0	0.01	0.53	0.24	34.96	3.89	0.78	0.68	0.23	2.07	1.84	0.07					0	0	0	0					0	0	0	0	0	0	0	
3/31/2016 11:59:59 PM	659453	2.88	0	6.59	6.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	2.21	0	175.29	17.91	2.88	2.88	2.21	2.21	0	0					0	0	0	0									0	28.46		
3/31/2016 11:59:59 PM	659556	0.73	0	0	0	0.1	0	0	0	0.33					0	0	0	0	0	1.48	1.48	0.3					0	0.73	0.49	56.7	6.89	1.22	0.77	0	1.49	1.49	0					0	0	0	0.59										0	0	
3/31/2016 11:59:59 PM	659640	4.38	7.49	0	7.49	3.51	6.69	0	6.69	7.53									0	0	0	0	94.44	0	94.44	427.78	4.3	0.08	6.2	298.18	8.51	10.58	4.38	0	0	0	0					6.29	0	6.29	10.06									0	0	0	
3/31/2016 11:59:59 PM	659734	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0.45	0	0	0.45	0	0	0	0	0					0	0	0	0											0	
3/31/2016 11:59:59 PM	659855	1.3	0.03	3	3.03	0.38	0.09	0.15	0.24	0.83	0.83	0.02	0.85	1.19	0	0	0	0	0.36	0.6	0.96	1.82	0.28	0	0.28	0.04	0.08	1.22	0.48	85.33	7.02	1.78	1.48	0.43	0.65	0.22	0	0	0	0	1.99	0.04	0.16	0.19	0.94					0	0	0	0	0	1.71	0.04	
3/31/2016 11:59:59 PM	660066	0	0	0	0	0	0	0	0	0.32									0	0	0	0	0	0	0	0	0	0	0.11	0	0	0.11	0	0	0	0	0																			0	
3/31/2016 11:59:59 PM	660253	0.25	0	0.52	0.52	0.03	0.54	0.51	1.04	0.03					0	0	0	0	0	0	0	0.43	0	0	0	0	0.03	0.22	0.24	26.26	2.57	0.49	0.25	0	0	0	0					0.6	0.56	1.16	0.03									0	0	0	
3/31/2016 11:59:59 PM	660271	0.7	0	0	0	0.14	0	0.14	0.14	0.98													0	0	0	0.08	0	0.7	0.3	66.74	5.27	0.99	0.77	0.03	0.32	0.29	0.44					0	0.25	0.25	0.9										3.24	0	
3/31/2016 11:59:59 PM	660570	2.44	0	4.55	4.55	0	0	0	0	0									0	0	0	0					0.21	2.23	0.29	261.74	22.48	2.73	2.56	0.42	0.94	0.51	0																	0	0	0	
3/31/2016 11:59:59 PM	660655	0.75	0.09	0.61	0.71	0.3	0.05	0.08	0.13	0.65	0	0	0	0	0	0	0	0.14	0	8.66	8.66	2.11	0	0	0	0.04	0.03	0.72	0.51	69.53	5.9	1.26	0.84	0.42	0.69	0.26	0.16					0.04	0.08	0.12	0.61					0	0	0	0.14	0	8.4	0.69	
3/31/2016 11:59:59 PM	660879	0.27	0	1.58	1.58	0.91	0	0.05	0.05	1.54													0	0	0	0	0	0.27	0.97	52.12	1.54	1.24	0.27	0	1.01	1.01	0					0	0	0	1.39										0	0	
3/31/2016 11:59:59 PM	660927	0.7	0	0	0	0	0	0.93	0.93	7.16													0	0	0	0	0	0.7	0.62	86.07	5.02	1.32	0.84	0.44	3.65	3.21	0					0	0	0	0										0	0	
3/31/2016 11:59:59 PM	661072	1.03	0	0	0	0	0	0	0	1.69													0	0	0	0	0	1.03	1.74	244.86	7.02	2.77	1.32	0	0	0	0					0	0	0	0										0	0	
3/31/2016 11:59:59 PM	661157	0	0	0	0	0.13	0	0	0	3.91									0	0	0	0	0	0	0	0	0	0	0.6	0	0	0.6	0	0	0	0	0																			0	
3/31/2016 11:59:59 PM	661223	1.5	3.76	0	3.76	0.51	0.49	0	0.49	5.25													0.03	0	0.03	1.31	1.01	0.49	3.15	74.72	7.69	4.65	3.71	0.64	0.81	0.17	0.37					0.29	0	0.29	4.62									0	0	0	
3/31/2016 11:59:59 PM	661308	1.88	0	0.26	0.26	0	0	0.46	0.46	3.03													0	0	0	0.08	0	1.88	0.42	127.92	12.88	2.3	2	0.73	2.16	1.43	4.42																		0	0	
3/31/2016 11:59:59 PM	661474	5.02																									2.52	2.49	1.62	380.46	7.97	6.64	5.02	0.35	0.64	0.3	0																	0	0	0	
3/31/2016 11:59:59 PM	661858	0.32	0	0	0	0	0	0	0	2.16									0	0	0	0	0	0	0	6844.44	0	0.32	4.69	78	1.28	5.01	0.32	0	0.84	0.84	0					0	0	0	3										0	0	
3/31/2016 11:59:59 PM	662350	0.09	0	0	0	0	0	0	0	0.22									0	0	0	0					0	0.09	0.16	6.54	0.77	0.25	0.09	0	0	0	0					0	0	0	0.51										0	0	
3/31/2016 11:59:59 PM	662369	0.68	0	0.59	0.59	0.7	0	3.82	3.82	0.61					0	0	0	0	0	0.14	0.14	0	0	0	0	0	0	0.68	0.21	74.73	3.48	0.89	0.96	0.25	1.47	1.22	0.43					0	0.15	0.15	2.61					0	0	0	0		10.85	20.91	
3/31/2016 11:59:59 PM	662640	0.55	0	0.26	0.26	0.04	0	0.04	0.04	0.23	0	0	0	0									0	0	0	0	0	0.55	0.14	36.91	2.47	0.69	0.63	0	1.45	1.45	0					0	0.05	0.05	0.3										0	0	
3/31/2016 11:59:59 PM	662659	0.66	0	1.14	1.14	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	3.3	0.44	0.22	0.15	59.11	4.06	0.81	0.66	0	0	0	0					0	0	0	0					0	0	0	0	0	100	67.74	
3/31/2016 11:59:59 PM	662949	0.04	0	0	0	0	0	0	0	0.07									0	0	0	0	0	0	0	0	0	0.04	0.8	1.9	0.09	0.84	0.04	0.01	1.22	1.21	0					0	0	0	0.2										0	0	
3/31/2016 11:59:59 PM	663058	0.69	0	0.93	0.93	0.32	0	0.95	0.95	0.16	0	0	0	0					0	0	0	0	0	0	0	0.08	0	0.69	0.18	75.48	5.1	0.86	0.78	0.08	0.08	0	0.03					0	1.11	1.11	0.26										7.79	6.17	
3/31/2016 11:59:59 PM	663245	1.75	0.03	1.24	1.27	0.25	0.12	0.22	0.35	0.54	0.07	0.14	0.22	0.35					0	0.47	0.47	0.49	0	0	0	0	0.05	1.7	0.39	257.7	8.19	2.14	2.56	0.04	0.22	0.19	0.24					0.24	0.36	0.6	0.56									0	3.63	14.28	
3/31/2016 11:59:59 PM	663450	3.8	0	0	0	0	0	3.8	3.8	0					0	0	0	0					0	40.72	40.72	0	0	3.8	2.15	143.33	20.77	5.94	3.97	3.06	4.75	1.7	0					0	0	0	0										0	60.63	
3/31/2016 11:59:59 PM	663638	3.51	24.51	9.85	34.35	0	0.95	4.86	5.81	0.83									0	0	0	0	0	0	0	0	2.56	0.96	0.74	331.21	11.09	4.25	3.72	0	4.06	4.06	0					1.52	0.22	1.74	0.65									0	0	0	
3/31/2016 11:59:59 PM	663647	0.15	0	0	0	0.54	0	2.75	2.75	0									0	0	0	0	0	0	0	0	0	0.15	0.45	7.22	1.22	0.61	0.91	0	0.56	0.56	0.61					0	0	0	0										0	0	
3/31/2016 11:59:59 PM	663656	0.19	0	0	0	0.17	0	0.42	0.42	0.22					0	0	0	0					0	0	0	0	0	0.19	0.09	11.59	1.11	0.29	0.29	0	2.2	2.2	0					0	0.11	0.11	0.53										0	0	
3/31/2016 11:59:59 PM	663834	0.72	0.12	0.83	0.95	2.29	0	0	0	1.16													0.69	0	0.69	32	0.03	0.69	0.68	51.81	4.4	1.41	1.86	0.22	1.78	1.56	0.5					0	0	0	0									0	0.09	0	
3/31/2016 11:59:59 PM	663955	0	0	0	0	0	0	0	0	0													0	0	0	0	0	0	0	0	0	0	0	0	0.55	0.55	0					0	0	0	0												
3/31/2016 11:59:59 PM	664176	2.01	0	0	0	0	0	0	0	0													0	0	0	0	1.24	0.77	1.08	152.99	8.46	3.09	2.38	0.2	0.98	0.79	0.43					0	0	0	0									0	0	0	
3/31/2016 11:59:59 PM	664206	0.63	0	0.59	0.59	0.06	0	0.01	0.01	0.03									0	0	0	0	0	0	0	0	0	0.63	0.04	91.31	5.79	0.67	0.63	0.21	0.34	0.13	0.18					0	0	0	0										0	0	
3/31/2016 11:59:59 PM	664653	1.88	0	0.66	0.66	0	0	8.93	8.93	0.09													0	0	0	0	0	1.88	0.16	125.38	16.49	2.03	1.89	0.11	0.29	0.18	0					0	11.52	11.52	0										23.19	24.55	
3/31/2016 11:59:59 PM	664756	0.42	0	1.29	1.29	0.66	0	0.12	0.12	0.18	0	0	0	0.17	0	0	0	0	0.09	2.9	3	0.77	0	0	0	0	0.01	0.4	0.35	47.94	1.18	0.77	0.59	0.01	0.01	0	0.01					0	0.07	0.07	0					0	0	0	0	58.14	0	1.61	
3/31/2016 11:59:59 PM	665146	0.41	0	0.51	0.51	0	0	0	0	0					0	0	0	0	0	0	0	0	155.56	0	155.56	668.52	0.28	0.13	0.44	38.11	2.6	0.85	0.43	0	0.09	0.09	0					0	0	0	0									0	0	0	
3/31/2016 11:59:59 PM	665258	0	0	0	0	0	0	0	0	0.61									0	0	0	0	0	0	0	0	0	0	0.38	0	0	0.38	0	0	0	0	0					0	0	0	1.01											0	
3/31/2016 11:59:59 PM	665865	0	0	0	0	0.06	0	0	0	0									0	0	0	0.68	0	0	0	0.66	0	0	0.07	0	0	0.07	0	0	0	0	0					0	0	0	0											0	
3/31/2016 11:59:59 PM	666059	0.55	0	0	0	0	0	0	0	0.23									0	0	0	0	0	0	0	0	0	0.55	0.71	150	3.16	1.26	1.5	0	0	0	0					0	0	0	0										0	0	
