Reporting Period	ID RSSD	UBPR1795	UBPR3123	UBPR4635	UBPRC233	UBPRD582	UBPRE006	UBPRE019	UBPRE020	UBPRE021	UBPRE022	UBPRE023	UBPRE386	UBPRE388	UBPRE390	UBPRE391	UBPRE395	UBPRE397	UBPRE398	UBPRE399	UBPRE400	UBPRE401	UBPRE402	UBPRE404	UBPRE405	UBPRE406	UBPRE407	UBPRE408	UBPRE409	UBPRE410	UBPRE411	UBPRE412	UBPRE413	UBPRE543	UBPRE586	UBPRE587	UBPRE594	UBPRFB60	UBPRFB61	UBPRFB64	UBPRFB66	UBPRFB69	UBPRFB70	
		NET LN&LEASE LOSSES(CHG-OFFS LESS RE	ALLL_AMT	LOSSES CHARGED TO RESERVE	ADJUSTMENTS	LNLS_HFS_WR_DN	PROV_LNLS_ATTR_AA	NET_LNLS_AVG_CYB	NOI_LNLS_CHGFF_CYB	LNLS_LOS_NET	LNLS_LOS_NHFS	LNLS_LOS_TOT	LNLS_CYA	LNLS_RCOV_PREV	LNLS_GRS_LOS_AVG	LNLS_RCOV_CYA_LNLS	LNLS_ALWNC_NACCR	LN_RE_LOS_AVG	ANLR_LN_RE_CML	ANLR_LN_CNSTRC_DV	ANLR_LN_FMLND	ANLR_FAM_LN_RE	ANLR_FAM_LN_LNE	ANLR_LN_FAM_MULT	ANLR_NFARM_NRSD	ANLR_LN_RE_FGN	ANLR_LN_AG	LN_CI_LOS_AVG	ANLR_LS_FIN	LN_LOS_IND_AVG	ANLR_LN_CRCD	LNLS_OTH_LOS_AVG	ANLR_LN_FDN_GOVT	ANLR_CNSTRC_1T4FAM	ANLR_CNSTRC_LAND	ANLR_NFRM_OWNR_OCC	ANLR_NFRM_NRES_OTH	NET LOSS % 1-4 FAM 1ST LIEN LN	NET LOSS % 1-4 FAM JR LIEN LN	NET LOSS % AUTO LN	NET LOSS % FIN INST LN	NET LOSS % LS IND	NET LOSS % OTHR LS	
3/31/2016 11:59:59 PM	5461	-50	5411	2	0	0	0	-0.07			1.65	1.65	305672	56.37	0	0.07	1.27	-0.08	0	0	0	-0.48	0	0	0		0	0		0.09		0		0	0	0	0	0	-19.28	0				
3/31/2016 11:59:59 PM	5751	-12	1553	0	0	0	0.18	-0.04			1.17	1.17	134795	37.21	0	0.04	15.23	0		0	0	0	0	0	0		0	-0.14	0	-0.16		0		0	0	0	0	0	0	-0.25				
3/31/2016 11:59:59 PM	6039	9	804	13	0	0	0	0.07	34.33	22.33	1.49	1.49	52898	8.38	0.1	0.03	2.44	-0.01		0	0	0		0	-0.02		0	0		0	0	7.53		0	0	-0.08	0	0	0	0.9				
3/31/2016 11:59:59 PM	6141	29	409	38	0	0	0.1	0.66	1.86	3.53	2.34	2.34	17514	43.9	0.87	0.21	0.59	0			0	0			0		0	0		3.1		0					0	0						
3/31/2016 11:59:59 PM	6329	1336	6992	1580	0	0	2.06	1.24	3.03	1.31	1.57	1.56	430983	15.38	1.47	0.23	1.06	0.12		-0.01	0	0.31	0	0	-0.01		0	0.33		3.11	-1.02	0		0	-0.01	0	-0.04	0.33	0	3.3				
3/31/2016 11:59:59 PM	7009	0	0	0	0	0	0	0			0	0	264354		0	0												0		0		0												
3/31/2016 11:59:59 PM	7045	106	1064	111	0	0	0.25	0.52	5.03	2.51	1.31	1.31	80854	2	0.55	0.02	0.54	0.47		0	0	0.75	0		0		0	0		1.47	2.57	0		0	0	0	0	0.77	0	0.59				
3/31/2016 11:59:59 PM	7072	15	1753	40	0	0	0.14	0.04	18.13	29.22	1.13	1.13	151588	17.33	0.11	0.07	0.47	0.11		0.4	0	0.13	0	0	0			-2.14		-0.18		0		0	0.44	0	0	0.14	0					
3/31/2016 11:59:59 PM	7157	1	253	1	0	0	0.04	0.02	74	63.25	1.04	1.04	24559	0	0.02	0	4.02	0			0	0			0		0	0	0	0.09							0	0		0.19				
3/31/2016 11:59:59 PM	7456	0	680	0	0	0	0.07	0			1.22	1.22	53592		0	0		0		0	0	0			0		0	0		0		0		0	0	0	0	0	0	0				
3/31/2016 11:59:59 PM	7634	294	869	331	0	0	0.25	2.6	0.96	0.74	1.93	1.93	45242	89.16	2.93	0.33	1.82	0.37		-3.12	0	-0.07			0.98		0	-0.58		0.13		510.12		0	-7.67		0.98	-0.08	0	0				
3/31/2016 11:59:59 PM	8033	10	1146	11	0	0	0	0.02	143	28.65	0.64	0.64	181428	4.71	0.02	0	2.12	0		0	0	0		0	0			0.2		0.17		0.11		0	0	0	0	0	0	0				
3/31/2016 11:59:59 PM	8462	6	719	7	0	0	0.1	0.05	99.17	29.96	1.37	1.37	51724	18.18	0.05	0.01	0.37	0		0	0	0			0		0	0		0.25				0		0	0	0	0	0.21				
3/31/2016 11:59:59 PM	8631	4	421	5	0	0	0	0.05	29.25	26.31	1.32	1.32	31925	11.76	0.06	0.01	7.14	0		0	0	0			0			0		0.39		0			0	0		0	0	-0.16				
3/31/2016 11:59:59 PM	9357	-1	3223	0	0	0	0	0			1.22	0.9	351337	5.33	0	0		0		0	0	0	0		0			0		0		0		0		0	0	0	0	0			0	
3/31/2016 11:59:59 PM	9553	6	995	7	0	0	0	0.02	103.5	41.46	1.03	1.03	96324	100	0.03	0	6.96	0		0	0	0		0	0		0	0.29		0		0		0		0		0	0	0				
3/31/2016 11:59:59 PM	9807	115	28573	153	0	0	0	0.03	76.55	62.12	1.65	1.65	1721378	4.7	0.04	0.01	1.8	0.03		-0.01		0.13	0	0	0			-0.1		1.62		0		-0.04	-0.01	0	0	0.16	-0.02					
3/31/2016 11:59:59 PM	9955	2	1530	4	0	0	0.03	0.01	252.5	191.25	1.91	1.91	79711	100	0.02	0.01	19.37	0		0	0	0	0	0	0		0	-0.04	0	0.97		0			0	0	0	0	0	1.23				
3/31/2016 11:59:59 PM	10250	11	3519	203	0	0	-0.43	0.02	116.64	79.98	1.45	1.45	238863	118.15	0.34	0.32	2.11	0.09		-0.53	0	-0.08	0	-6.33	0.66			-0.32		0.15	10.58	4.94		0	-0.66	0.62	0.71	-0.01	-0.61	0				
3/31/2016 11:59:59 PM	10849	-6	1500	4	0	0	0	-0.02			1.23	1.23	120671	250	0.01	0.03		-0.03		-0.45	0	0.05	0	0	0		0	0		0		1.24		0	-0.99	0	0	0.05	0	0	0			
3/31/2016 11:59:59 PM	11145	11	1901	21	0	0	0.01	0.03	68	43.2	1.13	1.13	167946	29.41	0.05	0.02	1.52	0.01		0	0	0.03	0	0	-0.01			0		0.11		0		0	0	-0.01	0	0.04	0	0				
3/31/2016 11:59:59 PM	11275	247	15606	479	0	0	0	0.07	16.36	15.8	1.28	1.12	1367702	33.3	0.14	0.07	0.95	0.08	0	0.17		0.12	0.19	0	0			-0.02		-0.13		0.64		0	0.19	0	0	0.04	1.03	0	0			
3/31/2016 11:59:59 PM	11640	-112	3082	10	0	0	0.03	-0.21			1.5	1.5	210916	469.23	0.02	0.23	16.84	-0.11		0	0	-0.47	0	0	0		0	-0.96		-0.04		-2.48		0	0	0	0	-0.51	0	-0.12				
3/31/2016 11:59:59 PM	11837	-1303	935	0	0	0	-2.97	-11.79			2.13	2.13	44192	7340.85	0	11.79		-17.15		0	0	0	0	0	-35.56			-0.53		0	0	0		0	0	0	-59.28	0	0	0				
3/31/2016 11:59:59 PM	12030	1009	7140	2042	0	0	0	1.55	2.78	1.77	2.72	2.72	261008	62.75	3.13	1.58	1.31	-0.69		-8.71	-0.74	-0.83		0	0.02			24.81		-3.6		-2.45		0	-10.05	0.02	0	-0.82	-4.72	-2.35				
3/31/2016 11:59:59 PM	12142	21	1660	60	0	0	0.05	0.07	24.57	19.76	1.46	1.46	113584	72.9	0.21	0.14		0		0	0	0	0	0	0			0		0.61	0	0.55		0	0	0	0	0	0	0				
3/31/2016 11:59:59 PM	12179	-1	235	0	0	0	-0.35	-0.01			0.79	0.79	29176	19.05	0	0.01	4.12	0		0	0	0	0	0	0			0		-0.71				0	0	0	0	0	0	0				
3/31/2016 11:59:59 PM	12311	8467	610383	59608	0	90	0.14	0.07	31.84	18.02	1.18	1.17	51030814	90.47	0.47	0.4	1.23	-0.19	2.01	-3.1	-0.23	0.12	0.19	-1.06	-0.31		-0.08	0.21	0	0.29	4.33	1.28		0.09	-3.85	-0.21	-0.46	0.08	-0.12	0.27	0		0	
