Reporting Period	ID RSSD	UBPR2221	UBPR3128	UBPR3792	UBPR5306	UBPR5310	UBPR5320	UBPR5340	UBPR5610	UBPR8275	UBPRA222	UBPRB594	UBPRB595	UBPRD654	UBPRE642	UBPRE643	UBPRE644	UBPRE645	UBPRE646	UBPRE648	UBPRE649	UBPRE650	UBPRE651	UBPRE652	UBPRE653	UBPRE654	UBPRE659	UBPRE660	UBPRF264	UBPRF859	UBPRF860	
		UNREALIZED GAINS ON A-F-S EQUITY SEC	ALLOCATED TRANSFER RISK RESERVES	TOTAL RISK-BASED CAPITAL	QUALIFYING SUBORDINATED DEBT	ALLL INCLUDIBLE IN TIER2 CAPITAL	TOTAL ASSETS (0% RISK-WEIGHT)	TOTAL ASSETS (100% RISK-WEIGHT)	DEFRD TAX ASSETS DISALWD FOR REGLTRY	TIER 2 CPTL ALLWBL UNDR RISK-BASED	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	RWA_OBS_20	EQ_CAP_TOT_ADJ	INTG_INEL	CAP_T1_TOT	RBC_TOT_DED_F	CAP_T3_TOT_LRG	RWA_OBS	RWA_OFBS_20R_100C	RWA_OFBS_50R_100C	RWA_OFBS_100RSK	RWA_OFBS	RWA_OFBS_0	RWA_TOT	ASET_MKT_RSK_LRG	RWA_ADJ_F	CUMULATIVE CHANGE IN FAIR VALUE	CUMULATIVE PREFERRED STOCK	CATEGORY THREE 50 PCT	
3/31/2011 11:59:59 PM	5461	0	0	50338	0	4258	24549	347586	0	4258	0	0	0	14102	46261	181	46080	50338	0	377101	0	0	6583	6583	0	383684	0	383684	0	0	15413	
3/31/2011 11:59:59 PM	5751	0	0	24806	0	791	2713	43478	0	791	249	0	0	11654	24015	0	24015	24806	0	61825	0	0	1495	1495	0	63320	0	63072	0	0	6694	
3/31/2011 11:59:59 PM	6039	0	0	9529	0	764	14248	55118	0	764	537	0	0	1891	8765	0	8765	9529	0	60081	0	0	1023	1023	0	61104	0	60567	0	0	3072	
3/31/2011 11:59:59 PM	6141	0	0	5153	0	358	936	17546	46	358	70	0	0	4895	4841	0	4795	5153	0	28648	0	0	0	0	0	28648	0	28578	0	0	6207	
3/31/2011 11:59:59 PM	6329	0	0	38551	0	4581	49089	313944	0	4581	5416	0	0	10299	33970	0	33970	38551	0	360308	0	18	6192	6210	0	366518	0	361102	0	0	36065	
3/31/2011 11:59:59 PM	6972	0	0	99467	0	8144	16012	512934	0	8144	9386	0	0	38211	91573	250	91323	99467	0	616572	0	0	34942	34942	0	651514	0	642128	0	0	65427	
3/31/2011 11:59:59 PM	7009	718	0	48702	0	0	154251	273550	0	718	0	0	0	34203	47984	0	47984	48702	0	315001	0	71	0	71	0	315072	0	315072	0	0	7249	
3/31/2011 11:59:59 PM	7045	0	0	15482	0	853	0	45084	0	853	0	0	0	12740	14629	0	14629	15482	0	72918	0	0	171	171	0	73089	0	73089	0	0	15094	
3/31/2011 11:59:59 PM	7157	0	0	4349	0	327	1006	17884	0	327	59	0	0	4645	4022	0	4022	4349	0	26824	0	0	0	0	0	26824	0	26765	0	0	4295	
3/31/2011 11:59:59 PM	7456	0	0	4934	0	383	6264	34584	0	383	0	0	0	2969	4551	0	4551	4934	0	37553	0	0	0	0	0	37553	0	37553	0	0	0	
3/31/2011 11:59:59 PM	7634	0	0	3703	0	584	11288	38861	0	584	877	0	0	1250	3119	0	3119	3703	0	46714	0	0	0	0	0	46714	0	45837	0	0	6603	
3/31/2011 11:59:59 PM	8033	0	0	15803	0	962	22907	88515	0	962	0	0	0	4357	14841	0	14841	15803	0	109407	526	0	861	1387	0	110793	0	110794	0	0	16535	
3/31/2011 11:59:59 PM	8462	0	0	14401	0	462	9656	33259	0	462	0	0	0	17028	13939	0	13939	14401	0	51773	0	0	339	339	0	52112	0	52112	0	0	1486	
3/31/2011 11:59:59 PM	8631	0	0	6935	0	434	1102	23355	0	434	0	0	0	4162	6501	0	6501	6935	0	34132	0	0	1430	1430	0	35562	0	35562	0	0	6615	
3/31/2011 11:59:59 PM	9357	0	0	41435	0	2335	27221	145669	0	2335	3502	0	0	19206	67594	28494	39100	41435	0	183803	0	0	3004	3004	0	186807	0	183305	0	0	18928	
3/31/2011 11:59:59 PM	9553	0	0	9312	0	823	5384	69745	0	823	0	0	0	2895	8489	0	8489	9312	0	79294	0	0	210	210	0	79504	0	79504	0	0	6654	
3/31/2011 11:59:59 PM	9807	0	0	324852	0	28630	220240	1692026	0	28630	25738	0	0	27315	296222	0	296222	324852	0	1943687	0	88775	257968	346743	0	2290430	0	2264692	0	0	224346	
3/31/2011 11:59:59 PM	9955	0	0	12565	0	784	2583	45228	0	784	356	0	0	9742	12163	382	11781	12565	0	59946	0	0	2417	2417	0	62363	0	62007	0	0	4976	
3/31/2011 11:59:59 PM	10250	0	0	22460	0	4003	24944	283105	8749	4003	10108	0	0	10066	27206	0	18457	22460	0	315461	0	0	4803	4803	0	320264	0	310156	0	0	22290	
