Reporting Period	ID RSSD	UBPRE836	UBPRE837	UBPRE838	UBPRE839	UBPRE840	UBPRE841	UBPRE842	UBPRE843	UBPRE844	UBPRE845	UBPRE846	UBPRE847	UBPRE848	UBPRE849	UBPRE850	UBPRE851	UBPRE852	UBPRE853	UBPRE854	UBPRE855	UBPRE856	UBPRE857	UBPRE858	UBPRE859	UBPRE860	UBPRE861	UBPRE862	UBPRE863	UBPRE864	UBPRE865	UBPRE866	UBPRE867	UBPRE868	UBPRE869	UBPRE870	UBPRE871	UBPRE872	UBPRE873	UBPRE874	UBPRE875	UBPRE876	
		PDS_3089_FAMRES_T	PDS_3089_HOMEQ_T	PDS_3089_CRCD_T	PDS_3089_AUTLN_T	PDS_3089_CMLLN_T	PDS_3089_OTHLN_T	PDS_3089_TOT_T	PDS_90MOR_FAMRES_T	PDS_90MOR_HOMEQ_T	PDS_90MOR_CRCD_T	PDS_90MOR_AUTLN_T	PDS_90MOR_CMLLN_T	PDS_90MOR_OTHLN_T	PDS_90MOR_TOT_T	PDS_SEC_ASET_T	NCOS_FAMRES_T	NCOS_HOMEQ_T	NCOS_CRCD_T	NCOS_AUTLN_T	NCOS_CMLLN_T	NCOS_OTHLN_T	NCOS_TOT_T	PDM_3089_FAMRES_T	PDM_3089_HOMEQ_T	PDM_3089_CRCD_T	PDM_3089_CMLLN_T	PDM_3089_OTHLN_T	PDM_3089_TOT_T	PDM_90MOR_FAMRES_T	PDM_90MOR_HOMEQ_T	PDM_90MOR_CRCD_T	PDM_90MOR_CMLLN_T	PDM_90MOR_OTHLN_T	PDM_90MOR_TOT_T	PDM_SEC_ASET_T	NCOS_FAMRES_TM_T	NCOS_HOMEQ_TM_T	NCOS_CRCD_TM_T	NCOS_CMLLN_TM_T	NCOS_OTHLN_TM_T	NCOS_TOT_TM_T	
3/31/2007 11:59:59 PM	30155	0						0	0						0	0	0						0	1.12		0	1.37	2.98	9.74			1.04	1.77		1.46	11.2	0		0	0	0	0.06	
3/31/2007 11:59:59 PM	30258																																										
3/31/2007 11:59:59 PM	30418																																										
3/31/2007 11:59:59 PM	30502																																										
3/31/2007 11:59:59 PM	30650																																										
3/31/2007 11:59:59 PM	30810			1.59				1.59			1.42				1.42	3.02			5.98				5.98	2.42	0	1.48	0.52	0	1.41		0	1.32	0.3		1.26	2.67	0	0	4.85	0.27	0	4.82	
3/31/2007 11:59:59 PM	30856																																										
3/31/2007 11:59:59 PM	31134																																										
3/31/2007 11:59:59 PM	31255																																										
3/31/2007 11:59:59 PM	31657																																										
3/31/2007 11:59:59 PM	31826																																										
3/31/2007 11:59:59 PM	31835																																										
3/31/2007 11:59:59 PM	32159																																										
3/31/2007 11:59:59 PM	32234																																										
3/31/2007 11:59:59 PM	32766																																										
3/31/2007 11:59:59 PM	33147																																										
3/31/2007 11:59:59 PM	33259																																										
3/31/2007 11:59:59 PM	33268																																										
3/31/2007 11:59:59 PM	33549																																										
3/31/2007 11:59:59 PM	33727																																										
3/31/2007 11:59:59 PM	33754																																										
3/31/2007 11:59:59 PM	33772																																										
3/31/2007 11:59:59 PM	33839																																										
3/31/2007 11:59:59 PM	33857																																										
3/31/2007 11:59:59 PM	34153																																										
3/31/2007 11:59:59 PM	34359																																										
3/31/2007 11:59:59 PM	34425																																										
3/31/2007 11:59:59 PM	34434																																										
3/31/2007 11:59:59 PM	34452																																										
3/31/2007 11:59:59 PM	34537																																										
3/31/2007 11:59:59 PM	34555																																										
3/31/2007 11:59:59 PM	34742																																										
3/31/2007 11:59:59 PM	34836																																										
3/31/2007 11:59:59 PM	34863																																										
3/31/2007 11:59:59 PM	35057																																										
3/31/2007 11:59:59 PM	35244																																										
3/31/2007 11:59:59 PM	35301																																										
3/31/2007 11:59:59 PM	35570																																										
3/31/2007 11:59:59 PM	35646																																										
3/31/2007 11:59:59 PM	35842	0						0	0						0	0	0						0	2.48	0		0.74	0	1.96		0		0.24		1.07	3.03	0	0		0	0	0.11	
3/31/2007 11:59:59 PM	35936																																										
3/31/2007 11:59:59 PM	36054																																										
3/31/2007 11:59:59 PM	36344																																										
3/31/2007 11:59:59 PM	36456																																										
3/31/2007 11:59:59 PM	36858																																										
3/31/2007 11:59:59 PM	36933																																										
3/31/2007 11:59:59 PM	37051																																										
3/31/2007 11:59:59 PM	37341																																										
3/31/2007 11:59:59 PM	37350																																										
3/31/2007 11:59:59 PM	37378																																										
3/31/2007 11:59:59 PM	37435																																										
3/31/2007 11:59:59 PM	37640																																										
3/31/2007 11:59:59 PM	37659																																										
3/31/2007 11:59:59 PM	37743																																										
3/31/2007 11:59:59 PM	37949																																										
3/31/2007 11:59:59 PM	38526																																										
3/31/2007 11:59:59 PM	38535																																										
3/31/2007 11:59:59 PM	38740																																										
3/31/2007 11:59:59 PM	39327																																										
3/31/2007 11:59:59 PM	39420																																										
3/31/2007 11:59:59 PM	39475																																										
3/31/2007 11:59:59 PM	39756																																										
3/31/2007 11:59:59 PM	39934																																										
3/31/2007 11:59:59 PM	40033																																										
3/31/2007 11:59:59 PM	40305																																										
3/31/2007 11:59:59 PM	40350																																										
3/31/2007 11:59:59 PM	40707																																										
3/31/2007 11:59:59 PM	40855																																										
3/31/2007 11:59:59 PM	41245																																										
3/31/2007 11:59:59 PM	41553																																										
3/31/2007 11:59:59 PM	41629																																										
3/31/2007 11:59:59 PM	41647																																										
3/31/2007 11:59:59 PM	41759																																										
3/31/2007 11:59:59 PM	41825																																										
3/31/2007 11:59:59 PM	41937																																										
3/31/2007 11:59:59 PM	41955																																										
3/31/2007 11:59:59 PM	42037																																										
3/31/2007 11:59:59 PM	42055																																										
3/31/2007 11:59:59 PM	42354																																										
3/31/2007 11:59:59 PM	42420																																										
3/31/2007 11:59:59 PM	42448																																										
3/31/2007 11:59:59 PM	42457																																										
3/31/2007 11:59:59 PM	43052																																										
3/31/2007 11:59:59 PM	43155																																										
3/31/2007 11:59:59 PM	43173																																										
3/31/2007 11:59:59 PM	43351																																										
3/31/2007 11:59:59 PM	43454																																										
3/31/2007 11:59:59 PM	43511																																										
3/31/2007 11:59:59 PM	43641																																										
3/31/2007 11:59:59 PM	43744																																										
3/31/2007 11:59:59 PM	43856																																										
3/31/2007 11:59:59 PM	43959																																										
3/31/2007 11:59:59 PM	44040																																										
3/31/2007 11:59:59 PM	44134																																										
3/31/2007 11:59:59 PM	44433																																										
3/31/2007 11:59:59 PM	44602	0.15						0.15	0.07						0.07	0.22	0						0	0.3	0		0	0	0.62		0		0		0.03	0.65	0	0		0	0	0	
3/31/2007 11:59:59 PM	44741																																										
3/31/2007 11:59:59 PM	44750																																										
3/31/2007 11:59:59 PM	44929																																										
3/31/2007 11:59:59 PM	45038																																										
3/31/2007 11:59:59 PM	45047																																										
3/31/2007 11:59:59 PM	45056																																										
3/31/2007 11:59:59 PM	45430																																										
3/31/2007 11:59:59 PM	45458																																										
3/31/2007 11:59:59 PM	45551																																										
3/31/2007 11:59:59 PM	45560																																										
3/31/2007 11:59:59 PM	45627																																										
3/31/2007 11:59:59 PM	45775	0						0	0						0	0	0						0	0.74	0		0	0.92	0.75		0		0		0	0.75	0	0		0	0	0	
3/31/2007 11:59:59 PM	46053																																										
3/31/2007 11:59:59 PM	46941																																										
3/31/2007 11:59:59 PM	47153																																										
3/31/2007 11:59:59 PM	47247																																										
3/31/2007 11:59:59 PM	47256																																										
3/31/2007 11:59:59 PM	47452																																										
3/31/2007 11:59:59 PM	47500																																										
3/31/2007 11:59:59 PM	48057																																										
3/31/2007 11:59:59 PM	48150																																										
3/31/2007 11:59:59 PM	48374																																										
3/31/2007 11:59:59 PM	48440																																										
3/31/2007 11:59:59 PM	48552																																										
3/31/2007 11:59:59 PM	48730																																										
3/31/2007 11:59:59 PM	49054																																										
3/31/2007 11:59:59 PM	49148																																										
3/31/2007 11:59:59 PM	49241																																										
3/31/2007 11:59:59 PM	49344																																										
3/31/2007 11:59:59 PM	49643																																										
3/31/2007 11:59:59 PM	49652																																										
3/31/2007 11:59:59 PM	49821																																										
3/31/2007 11:59:59 PM	49858																																										
3/31/2007 11:59:59 PM	49951																																										
3/31/2007 11:59:59 PM	50144																																										
