Reporting Period	ID RSSD	UBPRE553	UBPRE554	UBPRE555	UBPRE556	UBPRE557	UBPRE558	UBPRE559	UBPRE560	UBPRE561	UBPRE562	UBPRE563	UBPRE564	UBPRE565	UBPRE566	UBPRE567	UBPRE568	UBPRE569	UBPRE570	UBPRE571	UBPRE572	UBPRE573	UBPRE574	UBPRE575	UBPRE576	UBPRE577	UBPRE578	UBPRE579	UBPRE580	UBPRE581	
		LN_SMFAM_PT_TOT_A	LN_SMFAM_PT_O15_A	LN_SMFAM_PT_515_A	LNLS_SEC_OTH_TOT_A	LNLS_SEC_OTH_O15_A	LNLS_SEC_OTH_515_A	LNLS_SEC_PT_O15_A	MBS_TOT_OTH_A	MBS_OTH_O3Y_A	NOTES_STRU_AMRT_A	MTG_FV_A	INT_RT_TOT_OTH_A	SEC_AFS_FV_A	SEC_HTM_BV_A	OFBS_TOT_A	SEC_APDP_URL_HTM_A	SEC_APDP_HRM_T1CAP	LN_SEC_CMO_RP_O3A	DEP_LB_OTH_RP_O3_A	RPRC_NET_3YR_AA	LN_SEC_CMO_RP_O1A	DEP_LB_OTH_RP_O1_A	RPRC_NET_1YR_A	DEP_NMAT_TOT_A	DEP_NMAT_TOT_LA	DEP_NMAT_NET_LA_A	NOTES_STRU_T1CAP	MTG_FV_T1CAP	INT_RT_OTH_T1CAP	
3/31/2015 11:59:59 PM	5210	38.44	12.47	16.36	52.36	4.04	13.41	16.5	0.05	0.05	0	0	0	10.46	6.51	17.21	0.03	0.35	59.54	2.49	57.05	74.78	14.05	60.73	57	95.73	2.54	0	0	0	
3/31/2015 11:59:59 PM	5461	9.83	3.54	3.31	75.65	3.43	17.77	6.97	0	0	0.77	0	0.77	27.38	0	8.47	0	0	46.98	0.18	46.8	67.29	0.66	66.63	79.21	168.63	-32.24	7.92	0	7.92	
3/31/2015 11:59:59 PM	5751	15.99	8.61	4.9	72.58	13.37	28.47	21.98	3.79	1.67	0	0	0	24.42	0	12.77	0	0	66.86	2.42	64.44	75	7.81	67.2	62.07	92.85	4.78	0	0	0	
3/31/2015 11:59:59 PM	6039	7.33	0	3.5	64.26	0.54	14.11	0.54	0	0	0	0	0	13.45	0	7.4	0	0	34.06	0.12	33.94	50.94	1.71	49.23	55.03	161.59	-20.98	0	0	0	
3/31/2015 11:59:59 PM	6141	7.46	0.98	3.8	54.84	10.18	24.96	11.15	0	0	9.69	0	9.69	0	34.54	1.07	0.52	5.7	49.39	0.04	49.35	56.53	2.5	54.03	71.91	145.62	-22.53	106.37	0	106.37	
3/31/2015 11:59:59 PM	6329	14.9	0.24	0.26	64.93	0.25	7.34	0.48	0	0	0.39	0	0.39	6.67	0	8.41	0	0	34.47	1.4	33.07	63.53	9.14	54.39	47.34	137.33	-12.87	4.47	0	4.47	
3/31/2015 11:59:59 PM	7009	0	0	0	96.56	0	0	0	0	0	0	0	0	60.59	0	0	0	0	0.45	0	0.45	6.13	0	6.13	91.11	20214.04	-90.66	0	0	0	
3/31/2015 11:59:59 PM	7045	47.63	2.71	31.71	45.05	2.33	19.35	5.04	0	0	0	0	0	52.29	0	3.86	0	0	75.19	3.93	71.26	87.23	10.95	76.29	71.26	94.78	3.92	0	0	0	
3/31/2015 11:59:59 PM	7072	51.67	9.56	23.59	31.46	1.05	10.39	10.6	1.58	1.58	0	0.1	0.1	2.76	6.08	19.39	0.1	0.57	57.9	2.17	55.72	65.64	16.11	49.52	36.52	63.08	21.38	0	0.62	0.62	
3/31/2015 11:59:59 PM	7157	17.52	4.74	3.21	73.89	1.33	8.89	6.07	0	0	0	0	0	45.75	0.53	4.36	0	0	23.73	0	23.73	60	5.52	54.49	58.66	247.17	-34.93	0	0	0	
3/31/2015 11:59:59 PM	7456	6.59	0	0.64	76.51	5.74	12.31	5.74	0.04	0	0.28	0	0.28	19.94	0	26.54	0	0	41.11	0.41	40.7	58.02	4.26	53.75	71.4	173.67	-30.29	3.69	0	3.69	
3/31/2015 11:59:59 PM	7634	27.76	1.6	13.94	62.64	0.46	11.69	2.06	1.25	0.41	0.42	0	0.42	22.53	0.01	2.26	0	0	43.35	0.89	42.46	68.3	5.06	63.24	38.58	88.99	4.77	3.54	0	3.54	
3/31/2015 11:59:59 PM	8033	27.46	0	0.81	53.99	0.13	2.41	0.13	0	0	1.34	0	1.34	4.41	0	9.4	0	0	30.42	1.66	28.76	45.63	8.85	36.78	45.92	150.95	-15.5	12.38	0	12.38	
3/31/2015 11:59:59 PM	8462	24.26	3.92	19.12	54.42	0	7.3	3.92	0	0	0	0	0	54.45	0	3.77	0	0	60.23	0	60.23	65.52	0.99	64.53	62.66	104.03	-2.43	0	0	0	
3/31/2015 11:59:59 PM	8631	17.69	2.28	14.37	49.29	0.25	15.97	2.52	0	0	3.53	0	3.53	20.61	0	2.81	0	0	55.52	1.69	53.83	62.05	8.64	53.41	66.56	119.89	-11.04	36.65	0	36.65	
3/31/2015 11:59:59 PM	9357	28.82	0.01	0.81	62.21	0.21	1.62	0.22	1.87	1.87	3.55	0	3.55	14.36	0	66.32	0	0	14.26	0	14.26	25.25	0	25.25	73.77	517.28	-59.51	35.27	0	35.27	
3/31/2015 11:59:59 PM	9553	16.4	2.94	8.2	69.87	1.11	23.17	4.05	0.88	0.41	0.02	0	0.02	18.8	17.16	22.63	0.58	7.55	50.16	19.06	31.1	60.6	26.12	34.48	44.73	89.17	5.43	0.2	0	0.2	
3/31/2015 11:59:59 PM	9807	16.78	7.34	3.5	68.11	2.41	15.11	9.75	0.74	0.74	0	0	0	2.53	15.69	28.94	0.79	6.19	41.03	1.77	39.25	51.26	11.7	39.56	56.1	136.74	-15.08	0	0	0	
3/31/2015 11:59:59 PM	9955	3.38	1.08	1.03	78.07	0.03	11.22	1.11	0	0	0	0	0	28.24	0	14.43	0	0	33.65	4.91	28.74	58.42	9.02	49.4	65.97	196.06	-32.32	0	0	0	
