Reporting Period	ID RSSD	UBPR3632	UBPR3792	UBPR5310	UBPR5311	UBPR8274	UBPR8275	UBPRH392	UBPRH393	UBPRH394	UBPRH395	UBPRH396	UBPRH397	UBPRH398	UBPRP742	UBPRP839	UBPRP840	UBPRP841	UBPRP842	UBPRP843	UBPRP849	UBPRP851	UBPRP852	UBPRP856	UBPRP857	UBPRP858	UBPRP859	UBPRP860	UBPRP861	UBPRP862	UBPRP863	UBPRP864	UBPRP865	UBPRP866	UBPRP867	UBPRP868	UBPRP870	UBPRP872	UBPRQ257	
		UNDIVIDED PROFITS & CAPITAL RESERVES	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TIER 1 CPTL ALLWBL UNDR RISK-BASED	TIER 2 CPTL ALLWBL UNDR RISK-BASED	ADV AP ACC COMP INC	ADV AP RELATED ADJ	ADV AP ELIG CR RESERVE	ADV AP TIER 2 CAP B4 DED	ADV AP EXIT INS TOT CAP	UBPR OTHR DED CET1	SIG INV MSA DF TX ASSET PCT LIMIT	COMMON EQUITY TIER 1 CAPITAL	COM EQTY TIER 1 MINORTY INTERST	COM EQTY TIER 1 CAP BEFORE REG ADJ	COM EQTY TIER 1 CAP ADJS AND DEDUDS	LESS INTANG ASSTS NET OF ASSCTD DTLS	DFRD TX ASSTS OPRTING LOSS TX CRDT	NET GNS (LSSES) HTM SEC AOCI	NNSG INVCP UNCNS COMSTK 10 PCT THRSH	SUBTOT COMEQTY TIER1 CAP ADJ AN DEDS	MSA DTA 15PCT COMEQTY TIER1 CAPTHRES	INSF TIER1 TIER2 CAP CVR DED	ADJSTMNT DEDT  COM EQTY TIER1 CAP	COM EQTY TIER 1 CAPITAL	ADDITIONAL TIER 1 CAPITAL	NNQFY CAP INSTR PHSOUT ADD TIER1 CAP	TIER1 MNRTY INTR NOT EQTY TIER1 CAP	ADD TIER 1 CAPITAL BEFORE DEDUCTIONS	TOT ADDTNL TIER 1 CAP DEDUCTIONS	ADDTNL TIER 1 CAPITAL	TIER 2 CAP INSTRMNTS PLUS RLTD SRPLS	NNQLIFY CAP INSTR PHSOUT TIER2 CAP	CAP MNRTY INTRST NOT INCL TIER 1 CAP	TIER 2 CAPITAL BEFORE DEDUCTIONS	TOTAL TIER 2 CAPITAL DEDUCTIONS	UNREALIZED GAINS ON A-F-S EQUITY SEC	
3/31/2015 11:59:59 PM	5751	21017	30547	1424		29123	1424	1619	1619				0	0	9352	0	31988	1089	157	0		0	29123	0	0	0	29123	0	0	0	0	0	0	0	0	0	1424	0	0	
3/31/2015 11:59:59 PM	6039	1888	8689	732		7957	732	0	0				0	0	6069	0	7957	0	0	0		0	7957	0	0	0	7957	0	0	0	0	0	0	0	0	0	732	0	0	
3/31/2015 11:59:59 PM	6141	1105	6167	362		5805	362	0	0				0	0	4700	0	5805	0	0	0		0	5805	0	0	0	5805	0	0	0	0	0	0	0	0	0	362	0	0	
3/31/2015 11:59:59 PM	6329	22673	49569	4880		44689	4880	144	144				0	0	22600	0	45417	0	0	234		0	45039	0	350	350	44689	0	0	0	0	350	0	0	0	0	4880	0	0	
3/31/2015 11:59:59 PM	7009	55375	57310	0		56427	883	2083	2083				0	0	1052	0	58510	0	0	0		0	56427	0	0	0	56427	0	0	0	0	0	0	0	0	0	883	0	883	
3/31/2015 11:59:59 PM	7045	16032	19658	1201		18457	1201	802	802				0	0	2425	0	19259	0	0	0		0	18457	0	0	0	18457	0	0	0	0	0	0	0	0	0	1201	0	0	
3/31/2015 11:59:59 PM	7072	31945	31063	1499		29564	1499	17	17				54	0	0	0	31962	751	272	1304		0	29564	0	0	0	29564	0	0	0	0	0	0	0	0	0	1499	0	0	
3/31/2015 11:59:59 PM	7157	4458	5098	240		4858	240	41	41				0	0	400	0	4899	0	0	0		0	4858	0	0	0	4858	0	0	0	0	0	0	0	0	0	240	0	0	
3/31/2015 11:59:59 PM	7456	1178	6769	591		6178	591	192	192				0	0	5000	0	6370	0	0	0		0	6178	0	0	0	6178	0	0	0	0	0	0	0	0	0	591	0	0	
3/31/2015 11:59:59 PM	7634	-1232	7585	530		7055	530	120	93				0	0	8260	0	7148	0	0	0		0	7055	0	0	0	7055	0	0	0	0	0	0	0	0	0	530	0	0	
3/31/2015 11:59:59 PM	8033	18172	24468	1046		23422	1046	26	26				0	0	5250	0	23448	0	0	0		0	23422	0	0	0	23422	0	0	0	0	0	0	0	0	0	1046	0	0	
3/31/2015 11:59:59 PM	8462	17664	18963	599		18364	599	903	903				0	0	700	0	19267	0	0	0		0	18364	0	0	0	18364	0	0	0	0	0	0	0	0	0	599	0	0	
3/31/2015 11:59:59 PM	8631	5519	7251	432		6819	432	85	85				0	0	1300	0	6904	0	0	0		0	6819	0	0	0	6819	0	0	0	0	0	0	0	0	0	432	0	0	
