Reporting Period	ID RSSD	UBPR0416	UBPR3506	UBPR5369	UBPR8783	UBPRE582	UBPRE583	UBPRE588	UBPRE589	UBPRE590	UBPRE602	UBPRE621	UBPRE622	UBPRE623	UBPRE624	UBPRG378	UBPRM026	UBPRM027	UBPRM028	UBPRM029	UBPRM030	UBPRM031	UBPRM032	UBPRM033	UBPRM034	UBPRM035	UBPRM036	UBPRM037	UBPRM038	UBPRM039	UBPRM042	
		PLEDGED SECURITIES-BOOK VLAUE	OTH ASSETS-PAST DUE 90DYS OR MOR,ACG	LOANS AND LEASES HELD FOR SALE	FAIR VALUE OF STRUCTURED NOTES	INV_TEMP	ASET_INV_LNLS_LT1	SEC_DBT_NCUR	INV_TEMP_TA	SEC_MKTB_TA	LNLS_LTR_CR_TA	APP_HRSK_NTE_STRU	SEC_APP_DPR_BV_SEC	SEC_APP_ECAP	SEC_PLDG_TS	PLDG LN AND LEASE	PLEDGED ASSETS / PCT OF TOT ASSETS	US TREAS GOVT AGENCIES / PCT OF TOT 	MUNI SEC / PCT OF TOT SEC	PASS-THRU MBS / PCT OF TOT SCTY	CMO REMIC MBS / PCT OF TOT SCTY	CMRL MBS / PCT OF TOT SCTY	ABS / PCT OF TOT SCTY	STRUCT FIN PROD / PCT OF TOT SCTY	OTHR DOM DEBT SECS / PCT OF TOT SCTY	FOR DEBT SEC / PCT OF TOT SCTY	MUT FND OTH MKTBL SCTY / PCT TOT SY	APP IN AFS SEC / PCT OF AFS SEC	PLEDGED LN / PCT OF TOT LN	LN HELD FOR SALE / PCT OF TOT LN	SEC CATEGORIES, PCT TOT SEC	
3/31/2018 11:59:59 PM	17259	6958	0	0	0	9907	29931	0	15.86	0	59.71	0	0	0	52.63	14087	33.7	3.71	91.91	4.38	0	0	0	0	0	0	0	-0.91	37.6	0	100	
3/31/2018 11:59:59 PM	17950	94025	0	308	4748	18928	59738	0	3.9	0	48.67	-0.34		0	44	96909	39.31	5.59	24.85	16.93	28.31	23.85	0	0	0.46	0	0	-1.84	40.46	0.13	100	
3/31/2018 11:59:59 PM	17978	1000	0	0	0	123552	126409	0	40.51	0	40.88	0	-0.35	-0.48	0.64	96854	32.09	96.25	3.75	0	0	0	0	0	0	0	0		76.79	0	100	
3/31/2018 11:59:59 PM	18050	87759	0	794	0	28046	70743	0	4.94	0	56.23	0	1.74	0.63	44.74	309370	69.99	0.5	41.6	57.9	0	0	0	0	0	0	0	-2.06	96.18	0.25	100	
3/31/2018 11:59:59 PM	18135	20000	0	0	21462	21084	30033	0	7.63	0	32.39	-2.04	-1.5	-1.72	13.9	37357	20.75	80.8	19.2	0	0	0	0	0	0	0	0	-2.33	41.31	0	100	
3/31/2018 11:59:59 PM	18827	70994	0	0	5794	83378	151670	0	6.64	0.85	77.54	-0.1		0	56.31	378505	35.79	4.68	35.46	19.26	27.13	0	0	0	4.99	0	8.49	-1.48	39.26	0	100	
3/31/2018 11:59:59 PM	18836	2191	0	0	0	7226	18601	0	4.78	0	81.38	0		0	21.27	124123	83.6	14.39	56.83	13.18	5.99	0	0	0	9.61	0	0	-1.05	100	0	100	
3/31/2018 11:59:59 PM	18854	0	0	0	0	126604	415959	0	17.94	0	78.94	0		0		61189	8.67												10.88	0		
3/31/2018 11:59:59 PM	19356	8539	0	0	0	1138	9724	0	1.28	0	66.81	0	3.64	0.02	41.92	0	9.62	0	42.46	57.54	0	0	0	0	0	0	0	-3.9	0	0	100	
3/31/2018 11:59:59 PM	19936	49033	0	0	3878	68920	119050	0	22.01	0	54.83	-0.44	-1.42	-1.11	82.43	28569	24.78	6.72	10.01	37.23	44.53	1.5	0	0	0	0	0	-1.72	16.47	0	100	
3/31/2018 11:59:59 PM	19972	0	0	0	0	20732	20732	0	22.17	0	45.73	0	-1.05	-1.32	0	0	0	0	99.23	0.77	0	0	0	0	0	0	0		0	0	100	
3/31/2018 11:59:59 PM	20053	3295	0	0	0	6320	23373	0	6.38	0	77.73	0		0	29.6	10058	13.47	14.38	46.38	23.62	12.91	0	0	0	2.71	0	0	-2.59	12.87	0	100	
3/31/2018 11:59:59 PM	20633	19192	0	0	0	6654	25065	0	2.25	0.26	65.41	0		0	30.3	182949	68.5	4.85	37.42	35.6	20.93	0	0	0	0	0	1.2	-1.62	93.41	0	100	
3/31/2018 11:59:59 PM	20857	38834	0	175	0	5398	39298	0	3.99	0	49.21	0		0	61.72	17865	41.87	6.29	85.23	5.78	0.03	0	2.68	0	0	0	0	0.83	27.6	0.27	100	
3/31/2018 11:59:59 PM	21256	2535	0	0	0	4405	5102	0	38.45	0	32.2	0		0	100	0	22.13	98.46	0	1.54	0	0	0	0	0	0	0	-2.2	0	0	100	
3/31/2018 11:59:59 PM	21359	3073	0	0	0	11469	17384	0	21.5	0	59.29	0	0	0	36.54	0	5.76	8	39.86	47.16	2.18	0	0	0	2.79	0	0	-1.4	0	0	100	
3/31/2018 11:59:59 PM	21658	8814	0	0	0	14210	53790	0	8.57	0	71.77	0		0	30.03	0	5.31	27.32	33.75	37.27	0	1.66	0	0	0	0	0	-1.62	0	0	100	
3/31/2018 11:59:59 PM	22048	24514	0	0	0	2728	44889	6	1.31	0	73.03	0		0	63.06	64070	42.4	20.73	46	26.02	2.39	2.28	0	0	2.58	0	0	-2.14	41.78	0	100	
