Reporting Period	ID RSSD	UBPRB705	UBPRB706	UBPRB707	UBPRB708	UBPRB710	UBPRB712	UBPRB713	UBPRB714	UBPRB715	UBPRB717	UBPRB719	UBPRB720	UBPRB721	UBPRB722	UBPRB724	UBPRE711	UBPRE712	UBPRE713	UBPRE714	UBPRE715	UBPRE716	UBPRE717	UBPRE718	UBPRE719	UBPRE720	UBPRE721	UBPRE722	UBPRE723	UBPRE724	UBPRE725	UBPRE726	UBPRE727	UBPRE728	UBPRE729	UBPRE730	UBPRE731	UBPRE732	UBPRE733	UBPRE734	UBPRE735	UBPRE736	UBPRE737	UBPRE738	UBPRE739	UBPRE740	UBPRE741	UBPRE742	UBPRE743	UBPRE744	UBPRE745	UBPRE746	UBPRE747	UBPRE748	UBPRE749	UBPRE750	UBPRE751	UBPRE752	UBPRE753	UBPRE754	UBPRE755	UBPRE756	UBPRE757	UBPRE758	UBPRE759	UBPRE760	UBPRE761	UBPRE762	UBPRE763	UBPRE764	UBPRE765	UBPRE766	UBPRE767	UBPRE768	UBPRE769	UBPRE770	UBPRE771	UBPRE772	UBPRE773	UBPRE774	UBPRE775	UBPRE776	UBPRE777	UBPRE778	UBPRE779	UBPRE780	UBPRE781	UBPRE782	UBPRE783	UBPRE784	UBPRE785	UBPRE786	UBPRE787	UBPRE788	UBPRE789	UBPRE790	UBPRE791	UBPRE792	UBPRE793	UBPRE794	UBPRE795	UBPRE796	UBPRE797	UBPRE798	UBPRE799	UBPRE800	UBPRE801	
3/31/2018 11:59:59 PM	9807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.49	3.08	0	0.03	3.41	71.99																																																													
3/31/2018 11:59:59 PM	9955																0															0										5.9																																																																		
3/31/2018 11:59:59 PM	10250																0															0										14.5																																																																		
3/31/2018 11:59:59 PM	10849																0															0										22.05																																																																		
3/31/2018 11:59:59 PM	11145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				30.01	2.54	0	21.39	6.17	39.89																																																													
3/31/2018 11:59:59 PM	11640																0															0										13.7																																																																		
3/31/2018 11:59:59 PM	11837																0															0										17.12																																																																		
3/31/2018 11:59:59 PM	12030																0															0										22.64																																																																		
3/31/2018 11:59:59 PM	12142																0															0										28.75																																																																		
3/31/2018 11:59:59 PM	12179																0															0										59.37																																																																		
3/31/2018 11:59:59 PM	12311	0	0	0	882768	0	0	0	0	0	0	0	0	0	0	0	882768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85	0	0	0	0.85	0	0	0	0	0	15.74	11.22	1.05	21.77	28.18	22.04	-13.66				-13.66																										-43.64				-41.57		-100																								
3/31/2018 11:59:59 PM	12647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				26.38	1.68	0.42	1.19	10.62	59.72																																																													
3/31/2018 11:59:59 PM	12656																0															0										56.7																																																																		
3/31/2018 11:59:59 PM	12937																0															0										10.08																																																																		
3/31/2018 11:59:59 PM	12946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.55	0	0.11	2.54	14.89	54.92																																																													
3/31/2018 11:59:59 PM	13103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.5	1.77	0	17.13	7.09	35.51																																																													
3/31/2018 11:59:59 PM	13251																5806															12.54										31.48						-1.83																														15.8																														
3/31/2018 11:59:59 PM	13457																0															0										0.14																																																																		
3/31/2018 11:59:59 PM	14052																0															0										28.26																																																																		
3/31/2018 11:59:59 PM	14155																0															0										29.43																																																																		
3/31/2018 11:59:59 PM	14650																0															0										5.59																																																																		
3/31/2018 11:59:59 PM	14753																0															0										3.65																																																																		
3/31/2018 11:59:59 PM	14865																0															0										5.57																																																																		
3/31/2018 11:59:59 PM	14977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				22.39	0	0	11.19	13.75	52.67																																																													
3/31/2018 11:59:59 PM	16551																0															0										29.57																																																																		
3/31/2018 11:59:59 PM	16748																0															0										16.56																																																																		
3/31/2018 11:59:59 PM	17110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				0.2	1.08	0	69.46	17.08	12.17																																																													
3/31/2018 11:59:59 PM	17147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.34	6.84	0.01	1.16	22.5	55.15																																																													
3/31/2018 11:59:59 PM	17259																0															0										27.49																																																																		
3/31/2018 11:59:59 PM	17950																0															0										16.68																																																																		
3/31/2018 11:59:59 PM	17978																0															0										78.47																																																																		
3/31/2018 11:59:59 PM	18050																0															0										28.87																																																																		
3/31/2018 11:59:59 PM	18135																0															0										31.9																																																																		
3/31/2018 11:59:59 PM	18827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.43	2.89	0	5.42	11.55	47.71																																																													
3/31/2018 11:59:59 PM	18836																0															0										49.14																																																																		
3/31/2018 11:59:59 PM	18854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				7.19	0.8	0	0.45	40.32	51.23																																																													
3/31/2018 11:59:59 PM	19356																0															0										32																																																																		
3/31/2018 11:59:59 PM	19936																0															0										16.95																																																																		
3/31/2018 11:59:59 PM	19972																0															0										94.73																																																																		
3/31/2018 11:59:59 PM	20053																0															0										22.9																																				-100																														
3/31/2018 11:59:59 PM	20633																0															0										17.9																																																																		
3/31/2018 11:59:59 PM	20857																0															0										4.76																																																																		
3/31/2018 11:59:59 PM	21256																0															0										48.09																																																																		
3/31/2018 11:59:59 PM	21359																0															0										19.19																																																																		
3/31/2018 11:59:59 PM	21658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				24.08	1.24	0.06	4.87	4.09	65.67																																																													
3/31/2018 11:59:59 PM	22048																0															0										22.81																																																																		
3/31/2018 11:59:59 PM	22543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				40.34	10.22	0	0.54	9.17	39.73																																																													
3/31/2018 11:59:59 PM	22552																0															0										9.86																																																																		
3/31/2018 11:59:59 PM	22730																0															0										19																																																																		
3/31/2018 11:59:59 PM	22936																0															0										27.92																																																																		
3/31/2018 11:59:59 PM	23456																0															0										25.06																																																																		
3/31/2018 11:59:59 PM	23504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.99	2.2	0	0.07	18.03	63.71																																																													
3/31/2018 11:59:59 PM	23643																0															0										22.38																																																																		
3/31/2018 11:59:59 PM	23755																182424															91.61										10.48						-0.36																														-1.66																														
3/31/2018 11:59:59 PM	24006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.01	4.29	0	0.03	4.67	62																																																													
3/31/2018 11:59:59 PM	24378																0															0										90.9																																																																		
3/31/2018 11:59:59 PM	24453																0															0										34.14																																																																		
3/31/2018 11:59:59 PM	24659																0															0										9.63																																																																		
3/31/2018 11:59:59 PM	24668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.57	0.09	0	0.95	39.42	32.97																																																													
3/31/2018 11:59:59 PM	24949																0															0										14.13																																																																		
