Reporting Period	ID RSSD	UBPRD490	UBPRD646	UBPRD647	UBPRD648	UBPRD649	UBPRD650	UBPRE392	UBPRE632	UBPRE657	UBPRE658	UBPRE663	UBPRE880	UBPRE881	UBPRE882	UBPRE883	UBPRE884	UBPRE885	UBPRE886	UBPRE887	UBPRE888	UBPRE889	UBPRE890	UBPRE891	UBPRE892	UBPRE893	UBPRE894	UBPRE895	UBPRFB78	UBPRFB79	UBPRFB80	UBPRFB81	UBPRFB82	UBPRFB83	
		LN_CNSTRC_CYA_TC	CONST_RE_TLN	CRE_NONOWN_TC	CRE_NONOWN_TLN	CRE_TOT_TC	CRE_TOT_TLN	LN_NFRM_NRES_TC	LN_1T4_CNSTRC_TC	LN_OTH_CNSTRC_TC	LN_RE_LNLS_CYA_TC	LN_HE_CYA_TC	LN_RE_FARM_TC	LN_FAM_MULT_TC	LN_NFARM_LNLS_TC	LN_NFRM_OWNROCC_TC	RE_TOT_CYA_TC	LN_FIN_CYA_TC	LN_FARM_CYA_TC	LN_CMID_CYA_TC	LN_DOM_IND_TC	LN_CRCD_CYA_TC	LN_SCM_DOM_TC	LN_OFC_FGN_TC	LN_DOM_CYA_TC	LS_DOM_RCV_TC	LN_GOVT_FGN_TC	LN_CML_RE_TC	RTO 1-4 FAM 1ST LIEN LN CPT	RTO 1-4 FAM JR LIEN LN CPT	RTO RE LN IN FO CPT	RTO AUTO LN CPT	RTO LS IND CPT	RTO OTHR LS CPT	
3/31/2018 11:59:59 PM	9807	99.66	21.7	304.28	66.24	330.96	72.05	101.16	18.47	81.19	113.04	14.18	0	103.46	127.84	26.68	444	0	0	15.67	0.15	0	0	0	0.14	0		0	93.46	5.4		0	0	0	
3/31/2018 11:59:59 PM	9955	0	0	144.28	35.98	161.27	40.21	144.06	0	0	27.18	3.51	75.06	0.22	161.05	16.99	263.5	0	52.23	68.75	8.89	0	0	0	0.21	7.44		0	23.66	0		3.24			
3/31/2018 11:59:59 PM	10250	60.58	8.97	177.9	26.36	327.72	48.55	85.52	6.72	53.86	127.03	29.18	1.09	31.81	235.33	149.81	455.84	0	0	192.65	24.77	0.46	1.66	0	0.08	0		0	88.54	9.31		15.93			
3/31/2018 11:59:59 PM	10849	26.22	5.23	172.6	34.42	284.99	56.83	84.96	14.55	11.67	110.85	0.18	60.13	61.43	197.34	112.39	455.97	0	11.13	19.09	4.31	0	11.25	0	0.07	0		0	110.29	0.38		1.67			
3/31/2018 11:59:59 PM	11145	35.02	4.18	126.26	15.06	314.95	37.57	90.4	6.12	28.9	272.85	21.27	10.17	0.84	279.09	188.69	597.97	0	0.11	51.76	179.36	0	9.09	0	0	0		0	249.18	2.4		11.7			
3/31/2018 11:59:59 PM	11640	97.16	21.2	134.11	29.26	182.02	39.72	17.17	18.11	79.05	65.89	3.12	61.85	19.78	65.08	47.91	309.76	0	68.36	57.48	22.07	0	0	0	0.62	0		0	60.65	2.13		7.84			
3/31/2018 11:59:59 PM	11837	35.06	12.72	91.69	33.25	119.21	43.23	48.45	0.78	34.28	50.57	3.35	12.04	8.19	75.96	27.52	181.82	0	1.03	73.35	5.67	0.74	13.38	0	0.5	0		0	46.25	0.97		1.28			
3/31/2018 11:59:59 PM	12030	13.93	2.99	95.37	20.46	237.18	50.88	34.11	2.33	11.6	105.51	0	80.57	1.89	175.92	141.81	377.83	0	6.21	43.53	34.95	0	0.13	0	3.47	0		45.44	105.16	0.36		14.85			
3/31/2018 11:59:59 PM	12142	44.75	9.73	149.77	32.55	181.3	39.4	66.77	5.27	39.49	137.59	5.31	15.21	38.25	98.29	31.53	334.1	0	5.64	86.51	33.91	1.77	0	0	0	0		0	123.73	8.56		10.79			
3/31/2018 11:59:59 PM	12179	7.62	1.83	55.84	13.44	115.09	27.7	40.51	2.59	5.03	257.51	10.78	1.17	7.71	99.76	59.25	373.77	0	0	32.71	9.1	0	0	0	0	0		0	246.2	0.53		3.25			
3/31/2018 11:59:59 PM	12311	14.59	2.33	64.01	10.22	100.25	16.01	34.79	2.74	11.85	170.94	71.15	0.64	9.91	71.02	36.24	267.09	5.78	0.4	178.64	140.07	6.66	4.12	0	10.4	19.73		4.73	96.1	3.69		106.07	0	19.73	
3/31/2018 11:59:59 PM	12647	25.49	4.44	189.83	33.07	237.42	41.36	135.34	9.84	15.65	161.03	9.62	47.51	29	182.93	47.59	445.96	0	38.12	60.95	9.52	2.4	19.41	0	0.05	0		0	150.22	1.18		2.66			
3/31/2018 11:59:59 PM	12656	2.04	0.37	2.04	0.37	11.96	2.16	0	2.04	0	313.85	0	75.01	0	9.91	9.91	400.82	0	38.89	35.05	78.74	0	0	0	0	0		0	313.85	0		57.64			
3/31/2018 11:59:59 PM	12937	5.19	1.31	195.46	49.36	269.79	68.13	109.58	5.19	0	83.78	43.84	3.55	80.69	183.91	74.33	357.11	0	0	35.07	1	0	0	0	2.82	0		0	34.92	5.02		0			
3/31/2018 11:59:59 PM	12946	70.03	9.52	243.33	33.09	340.11	46.26	159.52	10.75	59.28	202.58	0	42.14	13.78	256.3	96.78	584.83	5.76	14.65	109.45	19.46	0.77	0.15	0	0.97	0		0	197.12	5.46		6.95	0	0	
3/31/2018 11:59:59 PM	13103	30	4.79	106.08	16.93	221.38	35.34	59.81	13.79	16.21	252.25	11.07	0	16.28	175.11	115.3	473.63	0	0	44.43	107.38	0	0	0	1	0		0	239.75	1.43		104.74	0	0	
3/31/2018 11:59:59 PM	13251	17.3	3.19	123.27	22.72	129	23.77	101.92	10.01	7.29	204.89	0	52.06	4.06	107.65	5.73	385.95	0	38.81	50.83	67.16	0	0	0	0	0		0	198.79	6.1		24.15			
3/31/2018 11:59:59 PM	13457	0	0	0	0	9.32	6.46	0	0	0	0.21	0	81.06	0	9.32	9.32	90.58	0	36.63	9.58	7.05	0	0.18	0	0.22	0		0	0.21	0		0.72			
3/31/2018 11:59:59 PM	14052	36.78	6.77	158.02	29.08	222.26	40.9	112.56	3.7	33.08	169.99	16.34	49.77	8.68	176.8	64.23	442.02	0	14.27	43.81	35.07	0	8.22	0	0.24	0		0	142.4	11.24		23.9			
3/31/2018 11:59:59 PM	14155	73.35	9.68	134.12	17.71	197	26.01	23.63	54.73	18.62	234.79	11.84	161.24	5.15	86.51	62.88	561.04	0	136.68	36.86	21.42	0	0	0	1.46	0.02		31.99	219.14	3.8		10.17			
3/31/2018 11:59:59 PM	14650	3.88	0.88	7.77	1.75	37.57	8.48	3.88	0	3.88	24.77	0	3.44	0	33.69	29.8	65.78	0	12.55	126.25	237.55	0	0	0	0.99	0		0	24.07	0.71		33.82			
3/31/2018 11:59:59 PM	14753	0	0	1.29	0.31	2.28	0.55	1.29	0	0	15.03	0	52.07	0	2.28	0.98	69.38	0	284.58	46.59	10.77	0	0	0	0.02	0		0	15.03	0		3.01			
3/31/2018 11:59:59 PM	14865	31.7	4.35	113.03	15.52	197.63	27.14	60.16	12.19	19.51	41.04	0.41	224.77	21.18	144.76	84.6	463.44	0	148.54	80.51	7.62	1.95	29.31	0	0.17	0		0	38.89	1.74		0.53			
3/31/2018 11:59:59 PM	14977	0	0	9.92	2.33	12.93	3.04	7.36	0	0	95.3	0	91.9	2.56	10.37	3.01	200.13	0	119.28	58.51	47.62	0	0.02	0	0.01	0		0	84.31	10.99		33.79			
3/31/2018 11:59:59 PM	16551	133.53	21.03	215.11	33.88	255.64	40.26	78.22	26.66	106.86	213.6	25.88	31.77	3.36	118.75	40.53	501.02	0	17.36	74.55	31.43	1.42	8.43	0	0	2.17		0	185.15	2.58		10.88			
3/31/2018 11:59:59 PM	16748	13.17	2.74	22.02	4.57	131.19	27.25	7.95	12.43	0.74	131.66	51.92	152.15	0.9	117.12	109.17	415	0	24.13	34.93	7.2	0	0	0	0.13	0		0	78.62	1.12		4.25			
3/31/2018 11:59:59 PM	17110	0	0	0	0	0	0	0	0	0	4.03	3.39	0	0	0	0	4.03	0	0	53.52	217.66	0	0	0	38.14	0		0	0.64	0		0			
3/31/2018 11:59:59 PM	17147	56.72	8.54	225.92	34.03	294.05	44.3	119.64	5.16	51.57	140.6	45.38	23.55	49.56	187.77	68.13	458.2	0.97	9.45	149.39	8.58	0.05	33.26	0	3.78	0.21		0	91.52	3.7		5.33	0	0.21	
3/31/2018 11:59:59 PM	17259	1.09	0.17	84.47	13.09	84.47	13.09	83.39	1.09	0	177.58	0	101.17	0	83.39	0	363.23	0	36.83	125.44	83.73	0	29.43	0	0.28	7.13		0	176	1.59		31.09			
3/31/2018 11:59:59 PM	17950	16.95	3.4	76.42	15.32	139.81	28.03	58.93	8.27	8.67	85.97	2.81	125.1	0	122.32	63.39	350.34	0	65.23	50.17	27.08	0	4.42	0	0.16	1.34		0.54	80.09	3.08		12.9			
3/31/2018 11:59:59 PM	17978	4.37	3.99	14.88	13.58	19.94	18.2	5.06	1.66	2.71	87.21	1.21	0.78	5.45	10.12	5.06	107.94	0	0.04	0	1.61	0	0	0	0	0		0	84.16	1.84		1.01			
3/31/2018 11:59:59 PM	18050	69.61	13.58	123.1	24.02	243.2	47.46	45.94	16.77	52.83	148.1	0.17	73.63	7.56	166.04	120.1	464.93	0	10.13	17.79	15.49	0	3.14	0	0.94	0		0	143.75	4.17		4.23			
3/31/2018 11:59:59 PM	18135	2.91	0.87	5.93	1.77	29.99	8.98	0	2.09	0.82	131.69	25.17	0	3.02	24.06	24.06	161.68	0	0	153.44	18.8	0.04	0	0	0	0		0	29.54	76.99		0.48			
3/31/2018 11:59:59 PM	18827	83.35	10.65	267.1	34.12	328.16	41.93	143.36	6.58	76.77	276.43	22.58	2.92	40.39	204.43	61.06	607.5	0	0	90.42	44.33	0	37.71	0	0.09	2.66		0	246.95	6.89		1.22	0	2.66	
3/31/2018 11:59:59 PM	18836	38.09	5.67	58.58	8.72	116.67	17.37	17.39	2.12	35.98	368.08	38.02	7.6	3.1	75.48	58.1	492.35	0	38.2	52.58	75.31	0	13.3	0	0	0		0	323.28	6.78		15.67			
3/31/2018 11:59:59 PM	18854	133.68	19.7	224.42	33.08	271.24	39.98	86.06	50.52	83.15	54.44	5.46	47.28	4.68	132.88	46.82	372.95	0	29.79	274.47	3.07	0	0.29	0	0.1	0		0	47.77	1.2		0.87	0	0	
3/31/2018 11:59:59 PM	19356	19.64	3.06	281.95	43.9	324.13	50.46	252.41	2.79	16.85	206.2	0.63	1.47	9.9	294.6	42.19	531.8	0	7.37	52.71	46.92	0	0	0	3.61	0		0	204.48	1.1		26.82			
3/31/2018 11:59:59 PM	19936	4.57	0.79	96.96	16.79	174.19	30.16	65.83	2.16	2.42	118.28	20.37	104.76	26.55	143.07	77.23	397.23	0	49.66	96.78	17.69	0	7.13	0	9.02	0		0	95.44	2.48		7.39			
3/31/2018 11:59:59 PM	19972	9.9	4.56	9.9	4.56	9.9	4.56	0	9.9	0	205.65	0	0.36	0	0	0	215.91	0	0	1.18	0.01	0	0	0	0	0		0	200.04	5.61		0			
3/31/2018 11:59:59 PM	20053	12.13	2.17	16.65	2.98	149.36	26.72	4.53	11.88	0.24	155.03	27.05	119.37	0	137.23	132.71	423.76	0	67.79	55.79	7.8	0.42	3.51	0	0.27	0		0	122.08	5.89		4.11			
3/31/2018 11:59:59 PM	20633	23	3.98	256.81	44.43	389.38	67.37	195.78	8.42	14.58	109.56	6.14	6.09	38.03	328.35	132.57	505.03	0	0.41	59.65	9.57	0	3.28	0	0	0		0	101.2	2.23		0.76			
3/31/2018 11:59:59 PM	20857	7.93	1.87	13.55	3.2	36.49	8.62	2.25	6.95	0.98	26.78	6.63	109.39	3.37	25.19	22.94	172.66	0	191.29	49.86	5.07	0	3.39	0	0	1.25		0	17.48	2.66		3.02			
