Reporting Period	ID RSSD	UBPRD638	UBPRE389	UBPRE393	UBPRE394	UBPRE396	UBPRE414	UBPRE415	UBPRE416	UBPRE417	UBPRE418	UBPRE419	UBPRE420	UBPRE421	UBPRE422	UBPRE423	UBPRE424	UBPRE425	UBPRE426	UBPRE428	UBPRE429	UBPRE430	UBPRE431	UBPRE432	UBPRE433	UBPRE434	UBPRE435	UBPRE436	UBPRE437	UBPRE438	UBPRE439	UBPRE440	UBPRE441	UBPRE442	UBPRE443	UBPRE444	UBPRE445	UBPRE446	UBPRE447	UBPRE448	UBPRFB71	UBPRFB72	UBPRFB74	UBPRFB75	UBPRFB76	UBPRFB77	
		RE_GNMA_FORCL_AA	LN_NFRM_NRES_LNLS	LN_1T4_CNSTRC_LNLS	LN_OTH_CNSTRC_LNLS	LN_NFRM_OWNROCC_LN	LN_CNSTRC_CYA_LNLS	LN_RE_LNLS_CYA_GRS	LN_HE_CYA_GRS	LN_RE_FARM_LNLS	LN_FAM_MULT_LNLS	LN_NFARM_LNLS	RE_TOT_CYA_LNLS	LN_FIN_CYA_LNLS	LN_FARM_CYA_LNLS	LN_CMID_CYA_LNLS	LN_DOM_IND_LNLS	LN_CRCD_CYA_LNLS	LN_SCM_DOM_LNLS	LN_OFC_FGN_LNLS	LN_DOM_CYA_LNLS	LS_DOM_RCV_LNLS	LN_GOVT_FGN_LNLS	LN_CML_RE_LNLS	CMT_EXTD_CR_QAL	LN_OFCR_SHLDR_QAL	LN_OFCR_SHLDR_ASET	RE_CSTRC_DV_A	RE_FMLD_ASET_A	RE_FAM_AVG_AA	RE_FAM_MULT_AA	RE_NFARM_NRSD_AA	RE_OFC_FGN_AA	RE_OTH_AA	RE_OTH_INV_AA	RE_OTH_TOT_AVG_AA	SRVC_1T4FAM_REC_TA	SRVC_1T4FAM_NRC_TA	SRVC_OTH_NREC_TA	SRVC_1T4OTH_TA	LOAN MIX 1-4 FAM 1ST LIEN LN	LOAN MIX 1-4 FAM JR LIEN LN	LOAN MIX RE LN IN FO	LOAN MIX AUTO LN	LOAN MIX LS IND	LOAN MIX OTHR LS	
3/31/2018 11:59:59 PM	14650	0	0.87	0	0.87	6.98	0.87	5.65	0	0.77	0	7.86	15.15	0	2.77	28.38	53.49	0	0	0	0.2	0		0	5.82	0.03	0.02	0	0	0	0	0.31		0.31	0	0.31				0	5.49	0.16		7.44			
3/31/2018 11:59:59 PM	14753	0	0.32	0	0	0.27	0	3.6	0	13.44	0	0.58	17.62	0	68.87	10.86	2.65	0	0	0	0	0		0	25.11	6.98	3.44	0	0	0.09	0	0		0.09	0	0.09				0	3.6	0		0.77			
3/31/2018 11:59:59 PM	14865	0	8	1.4	3.07	11.66	4.47	5.65	0.06	30.99	2.89	19.66	63.67	0	20.49	11.12	1.06	0.26	3.64	0	0.03	0		0	23.35	0.46	0.37	0	0.46	0	0	0		0.46	0	0.46				0	5.35	0.24		0.07			
3/31/2018 11:59:59 PM	14977	0	1.73	0	0	0.85	0	22.23	0	21.52	0.6	2.58	46.94	0	29.11	12.18	11.77	0	0	0	0	0		0	21.03	4.19	3.26	0	0	0	0	0		0	0	0	0	0	0	0	19.63	2.6		8.17			
3/31/2018 11:59:59 PM	16551	0	12.53	4.11	14.75	6.4	18.86	33.24	4.05	7.19	0.56	18.93	78.79	0	2.8	11.82	4.91	0.23	1.34	0	0	0.35		0	9.11	0	0	0.02	0.06	0.12	0	0.04		0.24	0	0.24				62.46	28.78	0.41		1.69			
3/31/2018 11:59:59 PM	16748	0	1.66	2.31	0.54	19.15	2.84	27.75	10.92	31.59	0.19	20.82	83.2	0	5.14	10.07	1.49	0	0.07	0	0.04	0		0	19.91	1.49	0.8	0	0	0.07	0	0		0.07	0	0.07				63.32	16.59	0.24		0.91			
3/31/2018 11:59:59 PM	17110	0	0	0	0	0	0	1.28	1.07	0	0	0	1.28	0	0	19.23	69.14	0	0	0	10.35	0		0	132.12	8.18	4.52	0	0	0	0	0		0	0	0	0	0	0	0	0.21	0		0			
3/31/2018 11:59:59 PM	17147	0	17.42	0.76	8.03	10.31	8.8	21.56	6.93	3.58	7.31	27.73	68.97	0.15	1.61	22.3	1.3	0.01	5.06	0	0.57	0.03		0	38.29	0.14	0.1	0.03	0	0.01	0	0.07		0.11	0.03	0.13	0	5.83	0	5.83	14.06	0.57		0.82	0	0.03	
3/31/2018 11:59:59 PM	17259	0	13.03	0.17	0	0	0.17	27.19	0	15.63	0	13.03	56.02	0	5.82	19.49	13.17	0	4.57	0	0.05	0.88		0	2.94	2.34	1.4	0	0	0.2	0	0		0.2	0	0.2				0	26.95	0.24		4.72			
3/31/2018 11:59:59 PM	17950	0	11.21	1.75	1.8	12.61	3.55	17.48	0.48	25	0	23.83	69.86	0	13.73	9.77	5.55	0	0.79	0	0.03	0.27		0.09	10.93	0.33	0.16	0	0	0.02	0	0.02		0.05	0	0.05				0	16.39	0.6		2.7			
3/31/2018 11:59:59 PM	17978	0	4.63	1.61	2.41	4.61	4.02	79.42	1.09	0.71	5.07	9.24	98.46	0	0.03	0	1.51	0	0	0	0	0		0	3.11	0.58	0.24	0.35	0	0.07	0	0.37		0.79	0	0.79				0	76.66	1.67		0.91			
3/31/2018 11:59:59 PM	18050	0	8.95	3.09	9.76	24.04	12.84	28.75	0.03	14.46	1.49	32.98	90.52	0	2.16	3.44	3.07	0	0.62	0	0.19	0		0	11.06	1.4	0.79	0	0	0	0	0		0	0	0				0	27.88	0.83		0.83			
3/31/2018 11:59:59 PM	18135	0	0	0.57	0.25	7.15	0.82	39.72	7.44	0	0.94	7.15	48.63	0	0	45.96	5.42	0.01	0	0	0	0		0	12.12	1.81	0.59	0	0	0	0	0		0	0	0				0	8.81	23.47		0.09			
3/31/2018 11:59:59 PM	18827	0	18.09	0.86	9.61	7.69	10.47	35.79	3.01	0.25	5.25	25.77	77.54	0	0	11.85	5.38	0	4.85	0	0.01	0.36		0	27.15	1.33	1	0	0	0.05	0	0.04		0.08	0	0.08	0	0	0	0	31.9	0.88		0.16	0	0.36	
3/31/2018 11:59:59 PM	18836	0	2.43	0.32	5.4	8.74	5.71	54.88	5.64	1.15	0.46	11.17	73.38	0	5.51	7.78	11.33	0	2	0	0	0		0	7.46	0.37	0.31	0.32	0	0.31	0	0.36		0.99	0	0.99				0	48.21	1.02		2.32			
