Reporting Period	ID RSSD	UBPR3128	UBPR5320	UBPR5340	UBPR8764	UBPRA222	UBPRD654	UBPRE648	UBPRE649	UBPRE650	UBPRE651	UBPRE652	UBPRE653	UBPRE654	UBPRE660	UBPRF860	UBPRH300	UBPRH399	UBPRH400	UBPRH401	UBPRH402	UBPRH403	UBPRH404	UBPRH405	UBPRH406	UBPRH407	UBPRH408	UBPRH409	UBPRHR46	UBPRHR47	UBPRS497	UBPRS498	UBPRS499	UBPRS503	UBPRS504	UBPRS505	UBPRS506	UBPRS507	UBPRS510	UBPRS569	UBPRS570	UBPRS571	UBPRS577	UBPRS578	UBPRS581	
		ALLOCATED TRANSFER RISK RESERVES	TOTAL ASSETS (0% RISK-WEIGHT)	TOTAL ASSETS (100% RISK-WEIGHT)	NET CURRENT CREDIT EXPOSURE	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	RWA_OBS_20	RWA_OBS	RWA_OFBS_20R_100C	RWA_OFBS_50R_100C	RWA_OFBS_100RSK	RWA_OFBS	RWA_OFBS_0	RWA_TOT	RWA_ADJ_F	CATEGORY THREE 50 PCT	EF FUND CONTRBTNS CNTRL CNTRPRTIES	TOTAL BS RWA SCTY EXP SSFA	TOT BS RWA SCTY EXP GROSS UP	RWA OFF BS OTHR	OTC CONTRACTS INTEREST RATE	OTC CONTRACTS ALL OTHER	CENTRALLY CLEARED CONTRACTS INT RT	CENTRALLY CLEARED CONTRACTS ALL OTHR	RWA OBS 150PCT	RWA OBS 1250PCT	UBPR RPT OTC CNTS TOT	CENTRALLY CLEARED CONTRACTS TOTAL	TOT BAL SH ASSET 2 PCT RW CAT	TOT BAL SH ASSET 4 PCT RW CAT	OFF-BALANCE SHEELCULATION METHOD	OFF-BALANCE SHEELCULATION METHOD	OFF-BALANCE SHEELCULATION METHOD	TOTAL BALANCE SHEET ASSETS - 1 WEIGH	TOTAL BALANCE SHEET ASSETS - 2 WEIGH	TOTAL BALANCE SHEET ASSETS - 3 WEIGH	TOTAL BALANCE SHEET ASSETS - 4 WEIGH	TOTAL BALANCE SHEET ASSETS - 6 WEIGH	TOTAL BALANCE SHEET ASSETS - 1 WEIGH	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	STANDARDIZED MARISK CAPITAL RULE	
3/31/2014 11:59:59 PM	11275	0	124255	894943	598	4327	22285	1026872	105	3466	3079	6650	0	1033522	1029195	109644																													0	
3/31/2014 11:59:59 PM	11640	0	29028	174821	0	0	24848	231024	0	0	24087	24087	0	255111	255111	31355																													0	
3/31/2014 11:59:59 PM	11837	0	6069	31902	0	537	10895	48037	0	0	168	168	0	48205	47668	5240																													0	
3/31/2014 11:59:59 PM	12030	0	46302	190690	0	6315	8265	223669	0	0	1623	1623	0	225292	218977	24714																													0	
3/31/2014 11:59:59 PM	12142	0	17686	91822	0	0	16073	125845	7	0	0	7	0	125851	125852	17950																													0	
3/31/2014 11:59:59 PM	12179	0	1121	11921	0	17	1125	22905	0	124	34	158	0	23062	23046	9859																													0	
3/31/2014 11:59:59 PM	12245	0	3883	47212	0	540	7367	73305	0	0	570	570	0	73875	73335	18726																													0	
3/31/2014 11:59:59 PM	12311	0	4648019	40308950	333027	52823	1390819	46344330	42985	223729	4463104	4729818	0	51074148	51021326	4644561																													0	
3/31/2014 11:59:59 PM	12647	0	1483	54913	0	120	4281	68020	0	0	81	81	0	68101	67982	8827																													0	
3/31/2014 11:59:59 PM	12656	0	332	5760	0	134	1059	10452	0	0	0	0	0	10452	10318	3633																													0	
3/31/2014 11:59:59 PM	12937	0	31980	128126	0	0	1955	145104	0	0	9111	9111	0	154215	154215	15023																													0	
3/31/2014 11:59:59 PM	12946	0	4664	445501	0	4722	29979	597120	0	48	19912	19960	0	617080	612358	121641																													0	
3/31/2014 11:59:59 PM	12955	0	2	88295	0	0	5456	103864	0	0	491	491	0	104355	104355	10113																													0	
3/31/2014 11:59:59 PM	13103	0	35516	886365	0	0	29196	1142146	0	87	712	799	0	1142945	1142945	226585																													0	
3/31/2014 11:59:59 PM	13251	0	13259	19404	0	147	512	22718	0	0	1837	1837	0	24555	24408	2802																													0	
3/31/2014 11:59:59 PM	13457	0	6898	9988	0	35	1669	11701	0	0	0	0	0	11701	11666	44																													0	
3/31/2014 11:59:59 PM	14052	0	7916	30486	0	308	1162	38667	0	0	106	106	0	38773	38466	7020																													0	
3/31/2014 11:59:59 PM	14155	0	945	87828	0	347	2991	111863	0	4705	55	4760	0	116623	116276	21044																													0	
3/31/2014 11:59:59 PM	14650	0	7851	16435	0	107	1081	18799	0	0	619	619	0	19418	19311	1283																													0	
3/31/2014 11:59:59 PM	14753	0	4562	18363	0	68	1559	27853	0	0	522	522	0	28375	28307	7931																													0	
3/31/2014 11:59:59 PM	14865	0	40028	219883	103	792	5184	236484	0	66	10521	10587	0	247071	246279	11417																													0	
3/31/2014 11:59:59 PM	14977	0	14863	30577	0	0	318	30895	0	0	15	15	0	30910	30910	0																													0	
3/31/2014 11:59:59 PM	16458	0	20891	115052	0	456	23950	159609	0	0	4732	4732	0	164341	163886	20608																													0	
3/31/2014 11:59:59 PM	16551	0	8819	131618	0	103	8696	170104	0	0	14959	14959	0	185063	184960	29790																													0	
3/31/2014 11:59:59 PM	16748	0	16692	28653	0	60	2824	34684	0	0	2816	2816	0	37500	37440	3207																													0	
3/31/2014 11:59:59 PM	16944	0	4482	7697	0	0	2980	16434	0	0	0	0	0	16434	16434	5757																													0	
3/31/2014 11:59:59 PM	16953	0	315	13824	0	0	4628	18452	0	0	0	0	0	18452	18452	0																													0	
3/31/2014 11:59:59 PM	17110	0	427	85594	0	0	4259	89977	0	0	19547	19547	0	109524	109525	125																													0	
3/31/2014 11:59:59 PM	17147	0	242967	3306928	0	18202	206709	3895251	0	1355	217515	218870	0	4114121	4095919	381614																													0	
3/31/2014 11:59:59 PM	17259	0	5992	30455	0	0	2922	40815	0	0	80	80	79	40895	40895	7438																													0	
3/31/2014 11:59:59 PM	17464	0	61333	978081	0	8248	44008	1067962	189	471	44526	45186	0	1113148	1104900	45874																													0	
3/31/2014 11:59:59 PM	17950	0	40334	137285	0	602	19208	197880	0	0	2368	2368	0	200248	199646	41387																													0	
3/31/2014 11:59:59 PM	17978	0	99422	48911	0	1011	16478	117906	0	0	0	0	0	117906	116896	52518																													0	
3/31/2014 11:59:59 PM	18050	0	42439	156088	0	861	31580	221805	0	38	2827	2865	0	224669	223808	34137																													0	
3/31/2014 11:59:59 PM	18135	0	2768	107919	0	0	24905	137291	0	0	453	453	0	137744	137744	4467																													0	
3/31/2014 11:59:59 PM	18377	0	21064	6022	0	0	1404	16037	0	0	0	0	0	16037	16037	8611																													0	
3/31/2014 11:59:59 PM	18827	0	2044	170115	0	812	24140	266529	0	311	2217	2528	480	269057	268245	72274																													0	
3/31/2014 11:59:59 PM	18836	0	6274	72795	0	752	3985	102744	0	0	1880	1880	0	104624	103872	25964																													0	
3/31/2014 11:59:59 PM	18854	0	94591	289196	0	0	3874	305502	0	0	30303	30303	20	335805	335805	12432																													0	
3/31/2014 11:59:59 PM	19356	0	3180	29469	0	326	5566	43662	0	0	552	552	0	44214	43888	8627																													0	
3/31/2014 11:59:59 PM	19730	0	254931	1656558	0	19470	41504	1762154	873	1014	30140	32027	0	1794181	1774711	64092																													0	
3/31/2014 11:59:59 PM	19936	0	52370	127674	0	1084	7207	149365	0	0	6187	6187	0	155552	154468	14484																													0	
3/31/2014 11:59:59 PM	19972	0	683	7161	0	0	10699	35670	0	0	0	0	0	35670	35670	17810																													0	
3/31/2014 11:59:59 PM	20053	0	1580	41313	0	241	2209	53832	0	0	8290	8290	0	62122	61881	10310																													0	
3/31/2014 11:59:59 PM	20512	0	9599	23363	0	16	6509	44981	0	0	68	68	0	45049	45033	15109																													0	
3/31/2014 11:59:59 PM	20633	0	43380	174890	0	573	8623	206589	130	0	395	525	649	207114	206541	23076																													0	
3/31/2014 11:59:59 PM	20857	0	68503	60487	0	0	18271	83232	0	0	3714	3714	0	86946	86946	4474																													0	
